,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,Target,Sub_Target
101,7,0.69,0.2,139,8.42,254.62,19.7,0.92,7.18,0.8,4.36,2,6
102,7.2,0.75,0.26,180.7,13.64,198.62,9.7,0.74,7.64,0.82,4.74,2,6
103,7.4,0.83,0.4,278,16.44,164.7,16.3,0.7,7.18,0.9,5.66,2,4
104,5.6,0.82,0.46,320,9.76,169.2,10.7,0.86,6.18,0.48,1.22,2,4
105,5.9,0.81,0.4,278,9.76,119.8,9.91,0.72,6.04,0.32,1.18,2,4
106,7,0.61,0.42,291.9,17.7,236.68,9.45,0.7,8.66,0.86,2.48,2,5
107,7.1,0.63,0.3,208.5,15.56,278.64,9.45,0.7,8.66,0.86,2.48,2,5
108,7.2,0.57,0.26,180.7,16.64,189.32,16.6,0.7,7.6,0.82,4.28,2,6
109,6.9,0.43,0.5,347.5,12.41,196.74,17.4,0.68,7.72,0.66,4.4,2,4
110,6.8,0.71,0.34,236.3,11.26,212.38,12.2,0.66,7.74,0.72,4.28,2,4
111,6.8,0.71,0.34,236.3,11.26,212.38,12.2,0.66,7.74,0.72,4.28,2,4
112,6.6,0.72,0.42,291.9,16.62,254.61,12.2,0.68,7.62,0.84,4.6,2,5
113,6.9,0.68,0.35,167.7,6.5,98.4,10.8,2.1,9.8,0.32,5.9,2,6
114,7.1,0.48,0.3,208.5,18.84,299.7,6.12,0.7,7.78,0.3,2.7,2,5
115,7.1,0.48,0.3,208.5,18.84,299.7,6.12,0.7,7.78,0.3,2.7,2,5
116,6.8,0.52,0.32,222.4,11.52,224.32,6.6,0.64,7.36,0.84,2.74,2,5
117,6.6,0.6,0.26,180.7,14.76,220.76,7.45,0.7,9.54,0.26,3.64,2,6
118,6.6,0.62,0.4,278,14.5,213.2,6.65,0.6,8.72,0.34,3.72,2,4
119,7.1,0.63,0.44,305.8,9.45,239.5,13.4,0.82,9.94,0.82,3.66,2,4
120,7,0.59,0.26,180.7,12.25,206.6,11.25,0.66,8.72,0.6,3.42,2,6
121,6.8,0.74,0.4,278,10.26,139.8,10.25,0.84,6.44,0.54,4.84,2,4
122,6.4,0.65,0.28,176.75,13.28,198.7,11.45,0.72,8.26,0.66,4.66,2,6
123,6.8,0.62,0.42,291.9,11.7,184.6,9.65,0.68,7.44,0.74,4.25,2,4
124,6.9,0.78,0.5,347.5,12.46,203.7,14.4,0.64,6.84,0.8,4.6,2,4
125,7,0.66,0.26,180.7,11.62,223.6,17.7,0.82,6.86,0.28,3.44,2,6
126,7.1,0.7,0.46,319.7,13.4,167.4,16.7,0.88,7.22,0.42,3.28,2,4
127,6.8,0.72,0.22,152.9,15.8,164.58,12.2,0.68,7.72,0.6,2.29,2,6
128,6.8,0.69,0.26,180.7,11.52,167.7,11.45,0.86,6.72,0.82,3.72,2,6
129,6.9,0.67,0.3,200.5,19.38,267.2,16.61,0.7,7.14,0.32,2.64,2,5
130,6.9,0.67,0.3,200.5,19.38,267.2,16.61,0.7,7.14,0.32,2.64,2,5
131,6.8,0.67,0.26,180.7,24.3,163.4,18.4,0.72,8.64,0.32,2.38,2,6
132,6.8,0.67,0.26,180.7,24.3,163.4,18.4,0.72,8.64,0.32,2.38,2,6
133,6.8,0.67,0.32,222.4,21.76,287.5,11.42,0.74,8.68,0.34,2.72,2,5
134,6.8,0.67,0.32,222.4,21.76,287.5,11.42,0.74,8.68,0.34,2.72,2,5
135,6.8,0.67,0.48,333.6,17.52,206.5,9.28,0.68,8.6,0.32,2.92,2,4
136,6.8,0.67,0.48,333.6,17.52,206.5,9.28,0.68,8.6,0.32,2.92,2,4
137,6.9,0.53,0.26,180.7,14.68,127.1,18.36,0.68,8.18,0.28,3.14,2,6
138,6.9,0.53,0.26,180.7,14.68,127.1,18.36,0.68,8.18,0.28,3.14,2,6
139,6.8,0.54,0.28,194.6,21.46,169.4,16.24,0.7,8.64,0.3,3.16,2,6
140,6.8,0.54,0.28,194.6,21.46,169.4,16.24,0.7,8.64,0.3,3.16,2,6
141,6.8,0.54,0.35,243.25,16.52,283.2,14.42,0.68,9.14,0.32,3.36,2,5
142,6.8,0.54,0.35,243.25,16.52,283.2,14.42,0.68,9.14,0.32,3.36,2,5
143,6.8,0.57,0.36,250.2,18.34,167.5,17.56,0.68,9.2,0.34,3.42,2,4
144,6.8,0.57,0.36,250.2,18.34,167.5,17.56,0.68,9.2,0.34,3.42,2,4
145,6.8,0.57,0.38,264.1,17.58,297.2,18.34,0.7,9.28,0.32,3.44,2,5
146,6.8,0.57,0.38,264.1,17.58,297.2,18.34,0.7,9.28,0.32,3.44,2,5
147,6.8,0.57,0.4,278,22.32,163.2,15.22,0.7,9.24,0.28,2.56,2,4
148,6.8,0.57,0.4,278,22.32,163.2,15.22,0.7,9.24,0.28,2.56,2,4
149,6.8,0.57,0.24,166.8,15.44,269.3,20.38,0.74,8.26,0.3,2.94,2,5
150,6.8,0.57,0.24,166.8,15.44,269.3,20.38,0.74,8.26,0.3,2.94,2,5
151,6.8,0.57,0.18,125.1,20.38,167.5,16.26,0.7,8.24,0.24,2.9,2,6
152,6.8,0.57,0.18,125.1,20.38,167.5,16.26,0.7,8.24,0.24,2.9,2,6
153,6.8,0.58,0.2,139,16.5,287.2,13.62,0.7,7.26,0.26,2.92,2,5
154,6.8,0.58,0.2,139,16.5,287.2,13.62,0.7,7.26,0.26,2.92,2,5
155,6.8,0.59,0.22,152.9,18.36,169.5,19.26,0.72,7.24,0.3,2.84,2,6
156,6.8,0.59,0.22,152.9,18.36,169.5,19.26,0.72,7.24,0.3,2.84,2,6
157,6.8,0.43,0.42,291.9,20.54,203.2,12.24,0.68,7.16,0.32,2.66,2,4
158,6.8,0.43,0.42,291.9,20.54,203.2,12.24,0.68,7.16,0.32,2.66,2,4
159,6.9,0.46,0.38,264.1,15.52,167.4,14.48,0.68,7.82,0.36,2.68,2,4
160,6.9,0.46,0.38,264.1,15.52,167.4,14.48,0.68,7.82,0.36,2.68,2,4
161,6.9,0.49,0.36,250.2,18.3,289.5,16.26,0.64,7.88,0.34,2.72,2,5
162,6.9,0.49,0.36,250.2,18.3,289.5,16.26,0.64,7.88,0.34,2.72,2,5
163,6.9,0.42,0.4,278,17.58,169.2,16.38,0.62,7.64,0.36,2.7,2,4
164,6.9,0.42,0.4,278,17.58,169.2,16.38,0.62,7.64,0.36,2.7,2,4
165,6.9,0.61,0.43,298.85,14.76,267.1,17.24,0.64,7.38,0.34,2.72,2,5
166,6.9,0.61,0.43,298.85,14.76,267.1,17.24,0.64,7.38,0.34,2.72,2,5
167,6.9,0.61,0.28,194.6,16.68,169.5,11.42,0.66,7.42,0.32,2.7,2,6
168,6.9,0.61,0.28,194.6,16.68,169.5,11.42,0.66,7.42,0.32,2.7,2,6
169,6.9,0.62,0.36,250.2,15.4,287.2,12.68,0.68,6.54,0.36,2.64,2,5
170,6.9,0.62,0.36,250.2,15.4,287.2,12.68,0.68,6.54,0.36,2.64,2,5
171,7.1,0.49,0.39,271.05,28.4,287.3,25.86,0.7,7.28,0.28,2.36,2,5
172,6.8,0.56,0.26,180.7,10.36,192.34,12.02,0.7,7.48,0.82,3.26,2,6
173,6.6,0.52,0.32,222.4,9.42,168.76,13.3,0.72,6.56,0.92,3.48,2,4
174,7.1,0.6,0.2,139,13.4,212.86,14.2,0.7,6.48,0.66,3.66,2,6
175,6.9,0.62,0.34,236.3,12.76,208.54,11.25,0.74,7.14,0.48,4.2,2,4
176,6.8,0.59,0.3,208.54,13.54,176.78,10.25,0.72,7.18,0.96,2.86,2,6
177,7.1,0.61,0.4,278,9.75,164.66,11.2,0.74,8.82,0.38,3,2,4
178,7,0.59,0.36,250.2,11.25,202.8,14.4,0.72,8.8,0.6,3.12,2,4
179,7.2,0.57,0.32,222.4,9.45,254.76,16.6,0.72,8.72,0.9,3.66,2,5
180,7,0.57,0.28,194.6,17.72,236.68,14.4,0.68,7.44,0.74,3.64,2,5
181,7.1,0.59,0.22,152.9,16.46,224.6,16.6,0.7,6.62,0.82,3.26,2,6
182,7.2,0.61,0.38,264.1,11.25,216.76,17.2,0.74,6.84,0.66,2.48,2,4
183,7.4,0.63,0.34,236.3,13.28,198.21,11.2,0.72,6.32,0.84,2.6,2,4
184,6.6,0.71,0.26,180.7,11.25,261.66,6.6,0.72,7.28,0.82,4.26,2,5
185,6.8,0.72,0.16,111.2,16.25,290.57,7.5,0.68,7.24,0.66,4.4,2,5
186,6.4,0.69,0.2,139,14.48,246.76,14.4,0.68,7.18,0.8,3.64,2,6
187,6.6,0.67,0.26,180.7,12.76,232.5,11.25,0.68,7.14,0.72,3.2,2,6
188,7.2,0.53,0.32,222.4,19.84,178.64,11.25,0.7,7.2,0.48,3.48,2,4
189,7,0.47,0.28,194.6,15.82,166.32,14.4,0.7,7.22,0.6,2.6,2,6
190,7.1,0.49,0.3,208.5,18.8,190.76,16.6,0.78,7.32,0.74,3.22,2,6
191,7,0.51,0.2,139,12.46,210.72,17.1,0.74,7.74,0.86,2.48,2,6
192,7.2,0.53,0.36,250.2,11.48,180.34,18.4,0.74,7.76,0.76,2.6,2,4
193,6.9,0.57,0.28,194.6,10.86,196.82,19.4,0.72,7.84,0.84,3.14,2,6
194,6.8,0.69,0.34,236.3,16.8,222.46,20.2,0.76,7.82,0.6,2.48,2,5
195,6.9,0.56,0.37,257.15,14.7,168.46,9.45,0.72,6.84,0.66,4.6,2,4
196,7,0.57,0.37,251.15,10.58,179.4,14.1,0.68,8.44,0.28,3.18,2,4
197,6.9,0.71,0.32,222.4,13.62,194.6,12.2,0.68,8.46,0.36,3.24,2,4
198,6.8,0.72,0.26,180.7,15.76,206.9,15.5,0.7,8.5,0.34,3.36,2,6
199,6.9,0.73,0.4,278,16.44,222.6,12.1,0.72,8.16,0.34,3.42,2,4
200,6.8,0.74,0.22,152.9,17.64,246.5,9.5,0.74,7.64,0.36,3.48,2,6
201,7,0.71,0.24,166.8,14.52,287.2,13.2,0.7,7.8,0.34,3.6,2,5
202,7.1,0.71,0.22,152.9,18.43,180.9,16.6,0.74,7.74,0.34,3.62,2,6
203,7,0.73,0.16,111.2,11.54,187.5,17.1,0.7,7.62,0.34,4.08,2,6
204,6.9,0.73,0.29,201.55,12.5,236.3,12.2,0.7,7.36,0.3,4.1,2,5
205,6.8,0.74,0.41,284.91,21.78,218.3,14.4,0.68,7.78,0.32,4.12,2,4
206,7,0.69,0.28,194.6,16.52,239.6,13.5,0.72,7.8,0.3,4.14,2,5
207,7,0.68,0.38,264.1,10.64,220.4,16.1,0.7,7.86,0.32,4.24,2,4
208,6.8,0.69,0.27,187.45,19.76,240.8,17.2,0.68,7.24,0.32,4.22,2,5
209,6.9,0.71,0.4,278,22.48,228.2,13.2,0.68,7.82,0.34,4.18,2,4
210,6.9,0.71,0.2,139,20.55,224.6,14.2,0.7,7.94,0.32,4.16,2,6
211,7,0.71,0.38,264.1,14.72,252.7,12.1,0.7,7.38,0.28,4.22,2,5
212,7,0.71,0.26,180.7,18.64,268.9,14.5,0.74,7.4,0.3,3.88,2,5
213,6.9,0.61,0.3,208.5,11.74,287.2,17.1,0.68,7.66,0.36,4.36,2,5
214,6.7,0.67,0.28,195,7.5,176.1,19.6,0.58,6.44,0.22,1.06,2,6
215,6.9,0.67,0.4,278,18.01,301.2,24.1,0.52,5.32,0.18,1.16,2,5
216,5.7,0.67,0.48,334,12.01,294,19.3,0.6,6.28,0.2,1.26,2,5
217,7,0.69,0.46,320,3,142.5,13.7,0.54,6.56,0.32,1.2,2,4
218,6.8,0.67,0.38,264,17.26,174.2,10.3,0.48,6.52,0.24,1.18,2,4
219,6.9,0.63,0.44,305.8,18.34,287.2,15.5,0.7,7.66,0.32,2.72,2,5
220,6.9,0.63,0.44,305.8,18.34,287.2,15.5,0.7,7.66,0.32,2.72,2,5
221,6.9,0.62,0.42,291.9,22.56,162.4,11.36,0.68,7.32,0.34,3.1,2,4
222,6.9,0.62,0.42,291.9,22.56,162.4,11.36,0.68,7.32,0.34,3.1,2,4
223,6.8,0.63,0.46,319.7,17.58,289.1,12.68,0.68,6.62,0.34,2.72,2,5
224,6.8,0.63,0.46,319.7,17.58,289.1,12.68,0.68,6.62,0.34,2.72,2,5
225,6.9,0.64,0.36,250.2,23.6,167.2,19.4,0.68,6.84,0.32,2.88,2,4
226,6.9,0.64,0.36,250.2,23.6,167.2,19.4,0.68,6.84,0.32,2.88,2,4
227,6.8,0.64,0.38,264.1,17.32,367.4,16.78,0.64,7.36,0.34,2.64,2,5
228,6.8,0.64,0.38,264.1,17.32,367.4,16.78,0.64,7.36,0.34,2.64,2,5
229,6.8,0.65,0.3,200.5,22.64,289.1,15.62,0.68,7.74,0.3,2.86,2,5
230,6.8,0.65,0.3,200.5,22.64,289.1,15.62,0.68,7.74,0.3,2.86,2,5
231,6.8,0.58,0.32,222.4,20.34,197.2,17.68,0.64,7.18,0.32,2.9,2,4
232,6.8,0.58,0.32,222.4,20.34,197.2,17.68,0.64,7.18,0.32,2.9,2,4
233,6.9,0.52,0.4,278,13.38,169.4,13.42,0.62,6.62,0.34,2.92,2,4
234,6.9,0.52,0.4,278,13.38,169.4,13.42,0.62,6.62,0.34,2.92,2,4
235,6.9,0.53,0.38,264.1,16.56,287.1,15.74,0.7,6.94,0.34,2.94,2,5
236,6.9,0.53,0.38,264.1,16.56,287.1,15.74,0.7,6.94,0.34,2.94,2,5
237,6.9,0.53,0.42,291.9,16.3,169.4,13.62,0.7,6.78,0.32,2.92,2,4
238,6.9,0.53,0.42,291.9,16.3,169.4,13.62,0.7,6.78,0.32,2.92,2,4
239,6.9,0.53,0.32,222.4,24.32,287.3,12.44,0.7,6.36,0.32,2.46,2,5
240,6.9,0.53,0.32,222.4,24.32,287.3,12.44,0.7,6.36,0.32,2.46,2,5
241,6.9,0.53,0.36,250.2,18.3,169.5,16.38,0.7,6.24,0.34,2.54,2,4
242,6.9,0.53,0.36,250.2,18.3,169.5,16.38,0.7,6.24,0.34,2.54,2,4
243,6.9,0.53,0.26,180.7,15.34,179.1,15.6,0.72,6.36,0.32,2.72,2,6
244,6.9,0.53,0.26,180.7,15.34,179.1,15.6,0.72,6.36,0.32,2.72,2,6
245,6.9,0.54,0.24,166.8,16.32,169.2,14.32,0.68,7.26,0.34,2.74,2,6
246,6.9,0.54,0.24,166.8,16.32,169.2,14.32,0.68,7.26,0.34,2.74,2,6
247,8.4,0.41,0.37,257.15,163.67,347.4,60.7,2.64,9.64,0.74,4.84,2,5
248,6.4,0.12,0.37,257.15,250.77,277.25,63.36,1.66,8.18,0.8,2.56,2,5
249,6.1,0.35,0.43,298.85,19.52,124.59,54.7,1.62,9.08,0.58,4.3,2,4
250,7.1,0.48,0.4,278,14.62,199.4,23.27,0.68,7.22,0.32,2.34,2,4
251,6.9,0.47,0.36,250.2,14.92,297.1,13.06,0.68,7.12,0.3,2.82,2,5
252,6.9,0.48,0.3,208.5,32.84,193.4,4.48,0.68,7.14,0.34,2.8,2,6
253,7,0.47,0.16,111.2,29.62,287.6,28.01,0.68,7.28,0.32,2.88,2,5
254,7,0.63,0.13,90.35,22.52,306.1,5.77,0.68,7.48,0.32,2.82,2,5
255,7,0.63,0.15,104.25,18.52,287.9,12.75,0.68,7.5,0.3,2.9,2,5
256,6.9,0.63,0.16,111.2,16.76,303.5,6.81,0.68,7.52,0.3,2.94,2,5
257,6.8,0.63,0.18,125.2,20.7,297.6,11.2,0.7,7.6,0.3,2.14,2,5
258,6.9,0.63,0.2,139,19.64,299.7,21.55,0.7,7.68,0.3,2.18,2,5
259,6.9,0.53,0.22,152.9,34.96,167.4,9.05,0.7,7.6,0.3,2.2,2,6
260,6.9,0.54,0.22,152.9,19.58,279.4,9.05,0.68,6.6,0.28,2.36,2,5
261,7,0.53,0.37,282.9,21.64,222.3,25.86,0.68,6.78,0.3,2.4,2,4
262,7.1,0.48,0.45,312.75,23.92,302.9,5.77,0.7,7.74,0.3,2.72,2,5
263,7,0.53,0.44,305.8,25.92,287.5,16.68,0.7,7.32,0.36,2.78,2,5
264,7.1,0.54,0.31,215.45,21.44,169.7,17.7,0.68,6.56,0.32,2.84,2,6
265,7,0.54,0.37,282.9,18.68,287.3,13.44,0.68,6.7,0.32,2.36,2,5
266,7,0.51,0.39,271.05,20.44,227.86,14.86,0.64,7.64,0.38,2.44,2,4
267,7,0.54,0.45,312.75,16.52,169.7,19.76,0.68,7.86,0.4,2.56,2,4
268,7,0.54,0.31,215.42,26.3,305.32,15.66,0.7,7.92,0.42,2.68,2,5
269,6.8,0.56,0.36,250.2,21.32,169.4,17.6,0.68,6.9,0.36,2.46,2,4
270,6.9,0.56,0.39,271.05,19.64,306.7,15.34,0.68,6.92,0.38,2.48,2,5
271,6.9,0.53,0.39,271.05,15.5,169.4,23.9,0.7,6.18,0.36,2.56,2,4
272,6.9,0.53,0.45,312.75,17.42,287.3,16.68,0.7,6.86,0.4,2.64,2,5
273,6.9,0.54,0.31,215.42,22.68,169.3,13.4,0.72,6.84,0.42,2.66,2,6
274,6.9,0.52,0.45,312.75,16.3,308.68,17.64,0.72,6.86,0.4,2.68,2,5
275,6.8,0.56,0.24,166.8,14.32,229.4,18.62,0.7,6.9,0.38,2.74,2,6
276,6.9,0.55,0.16,111.2,20.44,167.6,19.6,0.68,6.3,0.38,3.26,2,6
277,6.9,0.55,0.16,111.2,20.44,167.6,19.6,0.68,6.3,0.38,3.26,2,6
278,7,0.61,0.22,154.19,23.52,326.64,22.68,0.7,6.4,0.38,2.88,2,5
279,0,0.68,0.15,104.2,12.57,199.2,18.52,0.7,6.48,0.36,2.84,2,6
280,7,0.62,0.42,291.9,16.26,193.4,16.42,0.72,6.54,0.38,2.76,2,4
281,7,0.78,0.24,166.8,15.54,139.21,14.56,0.68,6.56,0.36,2.74,2,6
